cam_id,gimbal_speed,pan_setpoint,tilt_setpoint,execution_time
2,6,-50,1,10.181798394303769
2,6,45,2,
2,6,-50,3,1.1861757771112025
2,6,50,4,5.199844683054835
2,7,-50,5,7.198860185686499
2,7,-45,-5,3.1901444382965565
2,7,-50,-4,2.7984526278451085
2,7,-40,-3,4.597530216909945
2,7,-50,-2,5.987533227074891
2,7,-35,-1,
2,7,-50,0,1.7937480877153575
2,7,-30,1,
2,7,-50,2,
2,7,-25,3,17.383658641949296
2,7,-50,4,7.004434023983777
2,7,-20,5,4.393769843969494
2,7,-50,-5,6.795058969873935
2,7,-15,-4,
2,7,-50,-3,5.189692307263613
2,7,-10,-2,
2,7,-50,-1,6.395854415837675
2,7,-5,0,4.191845002118498
2,7,-50,1,5.795771764125675
2,7,0,2,4.20797834219411
2,7,-50,3,6.193974202964455
2,7,5,4,4.790058633778244
2,7,-50,5,6.401727792806923
2,7,10,-5,
2,7,-50,-4,5.388140008784831
2,7,15,-3,
2,7,-50,-2,6.390352621208876
2,7,20,-1,
2,7,-50,0,
2,7,25,1,6.986513013020158
2,7,-50,2,7.397854653187096
2,7,30,3,
2,7,-50,4,
2,7,35,5,
2,7,-50,-5,10.985337486956269
2,7,40,-4,5.794829922262579
2,7,-50,-3,8.397202194202691
2,7,45,-2,
2,7,-50,-1,8.592384349089116
2,7,50,0,5.400048386771232
2,8,-50,1,8.396585168782622
2,8,-45,2,
2,8,-50,3,7.793707063887268
2,8,-40,4,4.196399843785912
2,8,-50,5,6.395075597334653
2,8,-35,-5,4.392311550676823
2,8,-50,-4,5.400760944932699
2,8,-30,-3,4.798395715653896
2,8,-50,-2,
2,8,-25,-1,
2,8,-50,0,5.7878075879998505
2,8,-20,1,4.992244600318372
2,8,-50,2,5.992433778010309
2,8,-15,3,4.400485274847597
2,8,-50,4,6.598307667300105
2,8,-10,5,4.791012886911631
2,8,-50,-5,7.397338089067489
2,8,-5,-4,4.6047707591205835
2,8,-50,-3,7.185993522405624
2,8,0,-2,13.799750390928239
2,8,-50,-1,
2,8,5,0,5.390589934773743
2,8,-50,1,6.398736680857837
2,8,10,2,5.3923801919445395
2,8,-50,3,6.39826575294137
2,8,15,4,5.596899949014187
2,8,-50,5,6.798265045974404
2,8,20,-5,6.595377605874091
2,8,-50,-4,7.199557497166097
2,8,25,-3,6.798705454915762
2,8,-50,-2,15.200959235895425
2,8,30,-1,19.194123974069953
2,8,-50,0,7.799649670254439
2,8,35,1,6.9885560823604465
2,8,-50,2,8.199823623057455
2,8,40,3,6.1983310538344085
2,8,-50,4,7.196234681643546
2,8,45,5,7.592505645938218
2,8,-50,-5,6.997249376028776
2,8,50,-4,7.1937261782586575
